============================================================
METHANE SEGMENTATION ZCU104 OPTIMIZED BENCHMARK
============================================================
Batch: 1 ALWAYS
Profile: max-e2e
Dataset images: 342
Runners: 2
Pre workers: 1
Post workers: 1
Slots/runner: 1
Pin: no
DPU subgraphs: 6 | CPU fallback subgraphs: 6
Input  : [1,512,512,4] INT8 fix=5
Output : [1,512,512,1] FLOAT32
[VAL 167/342] ang20191025t195446_r2304_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 168/342] ang20191025t195446_r2816_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 169/342] ang20191025t203400_r11520_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 170/342] ang20191025t203400_r8448_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 171/342] ang20191025t203400_r4096_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 172/342] ang20191025t203400_r1536_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 173/342] ang20191025t205201_r7936_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 174/342] ang20191025t205201_r12800_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 175/342] ang20191025t205201_r3584_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 176/342] ang20191025t205201_r7168_c0_w512_h512 F1=0.0000 IoU=0.0000
[VAL 177/342] ang20191018t144405_r2674_c436_w151_h151 F1=0.6315 IoU=0.4615
[VAL 178/342] ang20191018t163108_r14851_c525_w151_h151 F1=0.8674 IoU=0.7659
[VAL 179/342] ang20191018t141549_r3900_c244_w151_h151 F1=0.0000 IoU=0.0000
[VAL 180/342] ang20191025t165545_r6573_c24_w151_h151 F1=0.8440 IoU=0.7301
[VAL 181/342] ang20191018t190719_r2696_c420_w151_h151 F1=0.8410 IoU=0.7257
[VAL 182/342] ang20191021t191828_r4300_c359_w151_h151 F1=0.9360 IoU=0.8797
[VAL 183/342] ang20191018t181457_r4349_c389_w151_h151 F1=0.8036 IoU=0.6716
[VAL 184/342] ang20191018t165503_r2660_c460_w151_h151 F1=0.9301 IoU=0.8693
[VAL 185/342] ang20191018t190719_r1941_c33_w151_h151 F1=0.8418 IoU=0.7268
[VAL 186/342] ang20191018t163108_r9758_c111_w151_h151 F1=0.8465 IoU=0.7339
[VAL 187/342] ang20191018t144405_r9715_c45_w151_h151 F1=0.6791 IoU=0.5141
[VAL 188/342] ang20191025t161146_r3244_c377_w151_h151 F1=0.5311 IoU=0.3615
[VAL 189/342] ang20191018t141549_r15184_c353_w151_h151 F1=0.4853 IoU=0.3204
[VAL 190/342] ang20191018t181457_r951_c373_w151_h151 F1=0.8672 IoU=0.7655
[VAL 191/342] ang20191025t173025_r3336_c191_w151_h151 F1=0.7305 IoU=0.5754
[VAL 192/342] ang20191018t141549_r12667_c106_w151_h151 F1=0.7979 IoU=0.6638
[VAL 193/342] ang20191021t160052_r3543_c486_w151_h151 F1=0.8928 IoU=0.8063
[VAL 194/342] ang20191018t165503_r9679_c77_w151_h151 F1=0.8292 IoU=0.7083
[VAL 195/342] ang20191018t183859_r9782_c161_w151_h151 F1=0.7880 IoU=0.6501
[VAL 196/342] ang20191018t160154_r4393_c66_w151_h151 F1=0.7939 IoU=0.6582
[VAL 197/342] ang20191018t190719_r17183_c16_w151_h151 F1=0.8365 IoU=0.7190
[VAL 198/342] ang20191025t184057_r9464_c310_w151_h151 F1=0.7705 IoU=0.6267
[VAL 199/342] ang20191021t163119_r10841_c319_w151_h151 F1=0.8788 IoU=0.7838
[VAL 200/342] ang20191025t195446_r7552_c210_w151_h151 F1=0.7021 IoU=0.5409
[VAL 201/342] ang20191018t190719_r9705_c38_w151_h151 F1=0.8216 IoU=0.6972
[VAL 202/342] ang20191025t191752_r8652_c211_w151_h151 F1=0.8349 IoU=0.7166
[VAL 203/342] ang20191025t171141_r4818_c323_w151_h151 F1=0.3547 IoU=0.2156
[VAL 204/342] ang20191018t165503_r1960_c173_w151_h151 F1=0.7923 IoU=0.6560
[VAL 205/342] ang20191021t181927_r7397_c149_w151_h151 F1=0.8524 IoU=0.7428
[VAL 206/342] ang20191018t181457_r4453_c18_w151_h151 F1=0.8473 IoU=0.7351
[VAL 207/342] ang20191025t174619_r4703_c464_w151_h151 F1=0.7522 IoU=0.6028
[VAL 208/342] ang20191025t184057_r7188_c55_w151_h151 F1=0.4676 IoU=0.3051
[VAL 209/342] ang20191018t163108_r12692_c64_w151_h151 F1=0.6225 IoU=0.4519
[VAL 210/342] ang20191025t163632_r4943_c530_w151_h151 F1=0.7537 IoU=0.6048
[VAL 211/342] ang20191018t163108_r2256_c265_w151_h151 F1=0.8492 IoU=0.7380
[VAL 212/342] ang20191025t171141_r10528_c126_w151_h151 F1=0.3788 IoU=0.2337
[VAL 213/342] ang20191018t144405_r9492_c26_w151_h151 F1=0.6606 IoU=0.4932
[VAL 214/342] ang20191025t185816_r5823_c32_w151_h151 F1=0.3715 IoU=0.2281
[VAL 215/342] ang20191025t191752_r5843_c383_w151_h151 F1=0.3370 IoU=0.2027
[VAL 216/342] ang20191021t161810_r8807_c129_w151_h151 F1=0.4221 IoU=0.2675
[VAL 217/342] ang20191025t165545_r6394_c182_w151_h151 F1=0.6545 IoU=0.4865
[VAL 218/342] ang20191025t184057_r3384_c231_w151_h151 F1=0.2063 IoU=0.1150
[VAL 219/342] ang20191025t173025_r6296_c170_w151_h151 F1=0.0000 IoU=0.0000
[VAL 220/342] ang20191025t182152_r2779_c154_w151_h151 F1=0.0000 IoU=0.0000
[VAL 221/342] ang20191025t205201_r10416_c273_w151_h151 F1=0.5073 IoU=0.3398
[VAL 222/342] ang20191025t184057_r10465_c469_w151_h151 F1=0.5179 IoU=0.3494
[VAL 223/342] ang20191021t174954_r6967_c133_w151_h151 F1=0.7443 IoU=0.5928
[VAL 224/342] ang20191021t161810_r10821_c7_w151_h151 F1=0.9027 IoU=0.8226
